,title,year,movie,tv,Netflix,Disney+,Hulu,Prime Video,genre_action_adventure,genre_animation,genre_biography,genre_children,genre_comedy,genre_crime,genre_documentary,genre_drama,genre_fantasy,genre_horror,genre_mystery,genre_romance,genre_science_fiction,genre_thriller,genre_musical,genre_reality,genre_other,HBO,rating,IMDb,Rotten Tomatoes
133,15-Aug,2019,1,0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,,5.9,45.0
134,15-Minute Anxiety Meditation,2020,1,0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,
135,15-Minute Arms & Core 8.0 Workout (with weights),2019,1,0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,
136,15-Minute Balance & Burn 5.0 Workout,2017,1,0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,
137,15-Minute Balance & Burn 9.0 Workout (with weights),2020,1,0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,
138,15-Minute Cardio Burn 5.0 Workout,2017,1,0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,
139,15-Minute Cardio Burst 4.0 Workout,2017,1,0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,
140,15-Minute Cardio Challenge 6.0 Workout (with weights),2018,1,0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,
141,15-Minute Cardio Core 4.0 Workout,2017,1,0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,
142,15-Minute Cardio Core 7.0 Workout (with weights),2019,1,0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,
143,15-Minute Cardio Core 8.0 Workout (with weights),2019,1,0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,
144,15-Minute Cardio Flow 7.0 Workout (with weights),2019,1,0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,
145,15-Minute Cardio HIIT 3.0 Workout,2017,1,0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,
146,15-Minute Core Challenge 1.0 Workout,2016,1,0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,
147,15-Minute Core Challenge 2.0 Workout,2017,1,0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,
148,15-Minute Core Challenge 9.0 Workout (with weights),2020,1,0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,
149,15-Minute Full Body Balance & Tone 7.0 Workout (with weights),2019,1,0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,
150,15-Minute Full Body Blast 3.0 Workout,2017,1,0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,
151,15-Minute Full Body Burn 1.0 Workout,2016,1,0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,
152,15-Minute Full Body Burn 2.0 Workout,2017,1,0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,
153,15-Minute Full Body Burn 3.0 Workout,2017,1,0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,
154,15-Minute Full Body Challenge 7.0 Workout (with weights),2019,1,0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,
155,15-Minute Full Body Challenge I 6.0 Workout (with weights),2018,1,0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,
156,15-Minute Full Body Challenge II 6.0 Workout (with weights),2018,1,0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,
157,15-Minute Full Body Chisel & Burn 7.0 Workout (with weights),2019,1,0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,
158,15-Minute Guided Meditation,2016,1,0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,
